Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
166,Chris Paul,PG,34,OKC,7,7,37.3,7.9,16,0.491,2.3,6.1,0.372,5.6,9.9,0.565,0.563,3.3,3.7,0.885,0.4,7,7.4,5.3,1.6,0.4,3.3,2.6,21.3,2020
167,Norvel Pelle,C,26,PHI,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,0,0,2020
168,Mason Plumlee,C,29,DEN,19,0,10.8,1,2.1,0.487,0,0.1,0,1,2,0.5,0.487,0.4,0.6,0.667,1.6,1.6,3.2,1.3,0.2,0.4,0.6,2.1,2.4,2020
169,Vincent Poirier,C,26,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,2020
170,Michael Porter Jr.,SF,21,DEN,19,3,23.7,4.1,8.6,0.476,1.8,4.7,0.382,2.3,3.9,0.587,0.579,1.4,1.8,0.743,1.1,5.6,6.7,0.8,0.7,0.3,1.3,2.3,11.4,2020
171,Kristaps Porziņģis,C,24,DAL,3,3,31.3,7,13.3,0.525,3,5.7,0.529,4,7.7,0.522,0.638,6.7,7.7,0.87,1,7.7,8.7,0.7,0,1,1,3,23.7,2020
172,Norman Powell,SG,26,TOR,11,0,24.8,4.6,9.5,0.49,2,4.7,0.423,2.6,4.7,0.558,0.596,2.1,2.6,0.793,0.4,2,2.4,1,0.5,0.3,1,2.6,13.4,2020
173,Josh Reaves,SF,22,DAL,2,0,4.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,1,1,0.5,0,0.5,0.5,0.5,2,2020
174,Josh Richardson,SG,26,PHI,4,4,36,5,14,0.357,2.5,7,0.357,2.5,7,0.357,0.446,4.3,4.5,0.944,1,2.8,3.8,3.3,0.5,0.5,2,3,16.8,2020
175,Austin Rivers,SG,27,HOU,12,0,17.6,1.6,5.1,0.311,0.8,2.9,0.257,0.8,2.2,0.385,0.385,0.8,1.1,0.769,0.2,2.3,2.5,1.3,0.6,0.1,0.7,1.8,4.8,2020
176,Andre Roberson,SF,28,OKC,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,2020
177,Duncan Robinson,SG,25,MIA,21,21,28.6,3.6,8.4,0.426,3,7.4,0.397,0.6,1,0.65,0.602,1.6,1.8,0.868,0.2,2.5,2.8,1.8,0.7,0.3,0.8,3.1,11.7,2020
178,Rajon Rondo,PG,33,LAL,16,0,24.7,3.4,7.6,0.455,1.3,3.1,0.4,2.2,4.4,0.493,0.537,0.8,1.2,0.684,0.8,3.5,4.3,6.6,1.4,0.1,2.1,2.3,8.9,2020
179,Terrence Ross,SG,28,ORL,5,0,27,6,12.8,0.469,2,6,0.333,4,6.8,0.588,0.547,2.4,2.8,0.857,0.2,4.2,4.4,1,0.8,0.2,1.6,2.8,16.4,2020
180,JaKarr Sampson,PF,26,IND,4,0,12.5,2.5,4,0.625,0,0,,2.5,4,0.625,0.625,0,0,,0.3,3,3.3,1,0.5,0,0.5,2.5,5,2020
181,Dennis Schröder,PG,26,OKC,7,0,32.4,6.3,15.6,0.404,1.9,6.4,0.289,4.4,9.1,0.484,0.463,2.9,3.6,0.8,0.3,3.4,3.7,3.6,0.6,0.1,2.4,2.1,17.3,2020
182,Mike Scott,PF,31,PHI,4,0,5,0.3,1.3,0.2,0,0.5,0,0.3,0.8,0.333,0.2,1,1,1,0.5,1.5,2,0.3,0,0,0,0.5,1.5,2020
183,Landry Shamet,SG,22,LAC,13,4,18.7,1.8,4.5,0.407,1.2,3.2,0.357,0.7,1.3,0.529,0.534,0.4,0.5,0.714,0,1.7,1.7,1.3,0.5,0.2,1,1.4,5.2,2020
184,Pascal Siakam,PF,25,TOR,11,11,38,6.5,16.5,0.396,0.9,4.8,0.189,5.6,11.7,0.481,0.423,3,4.2,0.717,1.3,6.3,7.5,3.8,1.1,0.4,2,3,17,2020
185,Anfernee Simons,SG,20,POR,4,0,20.5,2,6.5,0.308,1.5,3.5,0.429,0.5,3,0.167,0.423,1.3,1.5,0.833,0.3,2.5,2.8,2.5,1.5,0,1,1.8,6.8,2020
186,Marcus Smart,SG,25,BOS,17,16,38.1,4.6,11.6,0.394,2.4,7.2,0.333,2.2,4.4,0.493,0.497,2.9,3.3,0.875,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,14.5,2020
187,J.R. Smith,SG,34,LAL,10,0,7.5,0.7,2.6,0.269,0.6,2.2,0.273,0.1,0.4,0.25,0.385,0,0,,0,0.3,0.3,0.3,0.2,0,0.7,1.1,2,2020
188,Edmond Sumner,SG,24,IND,3,0,13.7,0.7,2.3,0.286,0,1,0,0.7,1.3,0.5,0.286,0.7,0.7,1,0.3,1.7,2,0,0,0,0.7,1.7,2,2020
189,Jayson Tatum,PF,21,BOS,17,17,40.6,8.5,19.6,0.434,2.8,7.4,0.373,5.8,12.2,0.471,0.504,5.9,7.2,0.813,1.3,8.7,10,5,1,1.2,2.8,2.4,25.7,2020
190,Garrett Temple,SG,33,BRK,4,4,34.3,4.3,12.3,0.347,2.3,9,0.25,2,3.3,0.615,0.439,1.3,1.5,0.833,0,2.8,2.8,2,0.8,0.3,1.5,3,12,2020
191,Daniel Theis,C,27,BOS,17,17,28.4,3.6,6.9,0.521,0.2,1.5,0.154,3.4,5.4,0.626,0.538,1.5,1.9,0.788,1.9,5.2,7.1,1.5,0.4,1.2,0.9,3.9,8.9,2020
192,Lance Thomas,PF,31,BRK,3,0,5.7,0.3,1.7,0.2,0,0.7,0,0.3,1,0.333,0.2,0.7,1.3,0.5,0.3,0.7,1,0,0,0.3,0,0.7,1.3,2020
193,Matt Thomas,SG,25,TOR,10,0,8.4,1.3,2.1,0.619,0.5,1.2,0.417,0.8,0.9,0.889,0.738,0,0,,0.1,1.3,1.4,0.7,0.1,0.1,0.1,0.6,3.1,2020
194,Matisse Thybulle,SG,22,PHI,4,1,18.8,0.8,1.8,0.429,0.3,1,0.25,0.5,0.8,0.667,0.5,0,0,,0.3,1.5,1.8,0.5,0.8,0.3,0.5,1.5,1.8,2020
195,Gary Trent Jr.,SF,21,POR,5,1,30.6,3.2,9,0.356,2,4.8,0.417,1.2,4.2,0.286,0.467,1.2,1.4,0.857,1,1,2,0.6,0.8,0,1,3.2,9.6,2020
196,P.J. Tucker,PF,34,HOU,12,12,34.5,2.9,7.3,0.398,2.1,5.6,0.373,0.8,1.8,0.476,0.54,0,0,,1.9,5.3,7.2,1.5,1.1,0.3,1,3.9,7.9,2020
197,Rayjon Tucker,SG,22,UTA,2,0,5.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0,0,,0,0,0,0,0,0,0.5,0.5,2.5,2020
198,Myles Turner,C,23,IND,4,4,36.5,6.3,11,0.568,1.5,3.5,0.429,4.8,7.5,0.633,0.636,1.8,4,0.438,2.8,8,10.8,0.8,0.5,4,2.3,3.3,15.8,2020
199,Fred VanVleet,SG,25,TOR,11,11,39.1,6.9,17.3,0.4,3.9,10,0.391,3,7.3,0.413,0.513,1.9,2.3,0.84,0.5,3.9,4.4,6.9,1.6,0.6,2,2.5,19.6,2020
200,Gabe Vincent,PG,23,MIA,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2020
201,Noah Vonleh,C,24,DEN,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020
202,Nikola Vučević,C,29,ORL,5,5,37,11.2,22.2,0.505,3.6,8.8,0.409,7.6,13.4,0.567,0.586,2,2.2,0.909,1.8,9.2,11,4,0.8,0.6,2.6,2.6,28,2020
203,Dion Waiters,SG,28,LAL,5,0,7.6,0.8,2.4,0.333,0,0.8,0,0.8,1.6,0.5,0.333,0.4,0.4,1,0,0.4,0.4,0.4,0.2,0.2,0.2,0.4,2,2020
204,Kemba Walker,PG,29,BOS,17,17,36.9,6.6,15.1,0.441,2.3,7.4,0.31,4.4,7.6,0.569,0.518,4.1,4.8,0.852,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,19.6,2020
205,Brad Wanamaker,PG,30,BOS,17,0,16.1,1.7,3.5,0.483,0.7,1.6,0.444,1,1.9,0.515,0.583,0.8,0.9,0.875,0.1,1.9,2,1.8,0.7,0.2,1.1,1.9,4.9,2020
206,T.J. Warren,SF,26,IND,4,4,39,8,17,0.471,1.8,4.8,0.368,6.3,12.3,0.51,0.522,2.3,2.3,1,1.3,5,6.3,3,2.3,0.3,2.8,4,20,2020
207,Tremont Waters,PG,22,BOS,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,0,0,0,0,0,2020
208,Paul Watson,SF,25,TOR,2,0,4.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0.5,0.5,0,0,0,1,2020
209,Russell Westbrook,PG,31,HOU,8,8,32.8,7.4,17.5,0.421,1,4.1,0.242,6.4,13.4,0.477,0.45,2.1,4,0.531,1.4,5.6,7,4.6,1.5,0.3,3.8,2.9,17.9,2020
210,Hassan Whiteside,C,30,POR,5,3,21.2,2.6,4.8,0.542,0.2,0.2,1,2.4,4.6,0.522,0.563,1.4,2.8,0.5,1.4,5.6,7,0.4,0.2,2,1.2,3.4,6.8,2020
211,Grant Williams,PF,21,BOS,17,0,10,0.9,1.5,0.577,0.6,1,0.588,0.3,0.5,0.556,0.769,0.4,0.6,0.7,0.4,1.1,1.5,0.4,0.1,0.3,0.2,1.9,2.8,2020
212,Lou Williams,PG,33,LAC,13,0,26.2,4.8,11.2,0.425,0.9,3.9,0.235,3.8,7.3,0.526,0.466,2.3,2.8,0.811,0.5,2.6,3.2,4.2,0.8,0.2,1.6,1.4,12.8,2020
213,Marvin Williams,PF,33,MIL,10,0,17.9,2.1,4.7,0.447,1,2.3,0.435,1.1,2.4,0.458,0.553,0.3,0.3,1,1.3,3.5,4.8,0.9,0.5,0.3,0.3,1.4,5.5,2020
214,Robert Williams,C,22,BOS,13,0,11.5,1.8,2.4,0.742,0,0.1,0,1.8,2.3,0.767,0.742,0.2,0.5,0.333,1.7,2.2,3.9,0.8,0.2,0.5,0.5,1.4,3.7,2020
215,Nigel Williams-Goss,PG,25,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,2020
216,Delon Wright,PG,27,DAL,4,0,13.3,1.5,2.5,0.6,0.3,0.5,0.5,1.3,2,0.625,0.65,0.8,1.3,0.6,0.3,0.5,0.8,1.8,1.3,0,1.3,0.5,4,2020
217,Ivica Zubac,C,22,LAC,13,13,24.6,3.4,6,0.564,0,0,,3.4,6,0.564,0.564,2.3,2.8,0.811,2.4,4.8,7.2,0.6,0.2,0.8,0.9,2.6,9.1,2020
1,Precious Achiuwa,PF,21,MIA,3,0,4,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0.3,1.3,0.25,0,2,2,0,0,0.7,1.3,0.3,2.3,2021
2,Bam Adebayo,C,23,MIA,4,4,34,6.5,14.3,0.456,0,0,,6.5,14.3,0.456,0.456,2.5,3.3,0.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,2.8,15.5,2021
3,Ty-Shon Alexander,SG,22,PHO,1,0,1,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,2021
4,Grayson Allen,SG,25,MEM,5,0,23.2,2.4,6.6,0.364,1.6,4.2,0.381,0.8,2.4,0.333,0.485,0,0.2,0,0.6,2,2.6,0.2,0.4,0.2,0.2,2.6,6.4,2021
5,Kyle Anderson,PF,27,MEM,5,5,28.4,3.6,8.4,0.429,0.6,2.4,0.25,3,6,0.5,0.464,0.6,0.8,0.75,0.8,4.2,5,3.2,2.8,0,0.8,1.8,8.4,2021
6,Giannis Antetokounmpo,PF,26,MIL,21,21,38.1,11.9,20.9,0.569,0.6,3.3,0.186,11.3,17.6,0.642,0.584,5.8,9.8,0.587,2.8,10,12.8,5.1,1,1.2,3,2.9,30.2,2021
7,Thanasis Antetokounmpo,SF,28,MIL,13,0,3.5,0.2,0.5,0.286,0,0,,0.2,0.5,0.286,0.286,0.4,0.5,0.833,0.2,0.5,0.8,0.2,0.4,0.2,0.2,0.9,0.7,2021
8,Carmelo Anthony,PF,36,POR,6,0,23.8,4.2,10,0.417,2.3,6.2,0.378,1.8,3.8,0.478,0.533,1.7,1.8,0.909,0.3,2.8,3.2,1.5,0.3,0.2,1.2,2.5,12.3,2021
9,Trevor Ariza,SF,35,MIA,4,4,24,1.8,5.8,0.304,1.3,4.3,0.294,0.5,1.5,0.333,0.413,0,0,,0.5,5.3,5.8,0.5,0.8,0.3,0.8,2.8,4.8,2021
10,Deandre Ayton,C,22,PHO,22,22,36.4,7,10.6,0.658,0,0,,7,10.6,0.658,0.658,1.8,2.4,0.736,3,8.8,11.8,1.1,0.8,1.1,1.3,2.9,15.8,2021
11,Udoka Azubuike,C,21,UTA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,2021
12,Desmond Bane,SG,22,MEM,5,0,19.8,2.2,3.8,0.579,1.2,2.4,0.5,1,1.4,0.714,0.737,0,0,,0.4,3,3.4,2,0.8,0.4,0.6,1.2,5.6,2021
13,RJ Barrett,SG,20,NYK,5,5,32.4,5.2,13.4,0.388,1.6,5.6,0.286,3.6,7.8,0.462,0.448,2.4,3,0.8,0.8,6.4,7.2,3,0.8,0.4,0.4,2.2,14.4,2021
14,Will Barton,SF,30,DEN,3,1,27.7,6.3,14.3,0.442,2.3,7,0.333,4,7.3,0.545,0.523,1.3,1.3,1,0.3,4,4.3,2.7,0.7,0.3,1.3,1.3,16.3,2021
15,Nicolas Batum,SF,32,LAC,19,10,29.2,2.8,5.7,0.486,1.5,3.8,0.389,1.3,1.9,0.676,0.615,1,1.2,0.826,1,4.5,5.5,2.1,1.3,0.5,0.3,1.4,8.1,2021
16,Bradley Beal,SG,27,WAS,5,5,39,11.2,24.6,0.455,1.4,6.4,0.219,9.8,18.2,0.538,0.484,6.2,7.2,0.861,1.2,5,6.2,4.2,0.8,0.6,4,1.2,30,2021
17,Dāvis Bertāns,PF,28,WAS,4,2,26.5,2.8,6.8,0.407,2,5.8,0.348,0.8,1,0.75,0.556,1.8,1.8,1,0,2.8,2.8,0.3,0.3,0.5,0.3,3,9.3,2021
18,Patrick Beverley,PG,32,LAC,17,7,19,1.7,4,0.426,0.8,2.2,0.351,0.9,1.8,0.516,0.522,0.7,0.8,0.857,0.6,1.8,2.4,1.4,0.7,0.7,0.2,2.1,4.9,2021
19,Nemanja Bjelica,PF,32,MIA,2,0,15,2.5,5.5,0.455,2,4,0.5,0.5,1.5,0.333,0.636,2,3,0.667,0.5,2,2.5,1,1,0.5,0,2.5,9,2021
20,Keljin Blevins,SF,25,POR,2,0,2,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,0,0,0,0,0,0,0.5,1,2021
21,Bogdan Bogdanović,SG,28,ATL,18,18,33.2,5.4,13.8,0.39,2.6,7.9,0.329,2.8,5.9,0.472,0.484,0.7,0.9,0.706,0.6,3.6,4.2,2.9,1.6,0.3,1.5,2.8,14.1,2021
22,Bojan Bogdanović,SF,31,UTA,11,11,35.5,5.8,12.5,0.467,3.2,6.9,0.461,2.6,5.5,0.475,0.595,3.3,3.7,0.878,0.5,3.7,4.3,1.5,0.9,0,2.1,2.5,18.1,2021
23,Bol Bol,PF,21,DEN,3,0,2,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0.7,0,0,0,0,0,2021
24,Isaac Bonga,SF,21,WAS,4,0,2.5,0,1.3,0,0,0.8,0,0,0.5,0,0,0,0,,0,0,0,0,0,0.3,0,0,0,2021
25,Devin Booker,SG,24,PHO,22,22,40.4,9.6,21.5,0.447,2,6.2,0.321,7.6,15.3,0.499,0.494,6,6.7,0.905,0.7,5,5.6,4.5,0.8,0.2,3.7,3.5,27.3,2021
26,Jarrell Brantley,PF,24,UTA,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0.5,1,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,2021
27,Mikal Bridges,SF,24,PHO,22,22,32.1,4.2,8.6,0.484,1.6,4.3,0.368,2.6,4.3,0.6,0.576,1.1,1.3,0.893,0.9,3.4,4.3,1.6,1,0.7,0.7,1.9,11.1,2021
28,Dillon Brooks,SF,25,MEM,5,5,35,10,19.4,0.515,1.6,4,0.4,8.4,15.4,0.545,0.557,4.2,5.2,0.808,1,3.2,4.2,2.2,1.4,0.4,1.8,3.4,25.8,2021
29,Bruce Brown,PG,24,BRK,12,5,23.1,3.3,6.6,0.506,0.2,0.9,0.182,3.2,5.7,0.559,0.519,1.1,1.3,0.813,1.9,3.2,5.1,2.1,0.7,0.4,0.9,2.6,7.9,2021
30,Jalen Brunson,PG,24,DAL,7,0,16.3,2.9,6.3,0.455,0.9,1.9,0.462,2,4.4,0.452,0.523,1.4,1.9,0.769,0.9,1.7,2.6,1.4,0,0,0.6,0.9,8,2021
31,Elijah Bryant,SG,25,MIL,11,0,4.5,0.6,1.8,0.35,0,0.7,0,0.6,1.1,0.583,0.35,0,0,,0.2,0.9,1.1,0.4,0.2,0.1,0.2,0.1,1.3,2021
32,Reggie Bullock,SF,29,NYK,5,5,32.4,3,7.8,0.385,2,5.8,0.345,1,2,0.5,0.513,0.8,1,0.8,1,2.4,3.4,1.2,0.6,0.2,0.8,2.2,8.8,2021
33,Trey Burke,PG,28,DAL,2,0,8.5,0,3.5,0,0,1.5,0,0,2,0,0,0.5,1,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,2021
34,Alec Burks,SG,29,NYK,5,0,25.6,4.8,11.2,0.429,1.6,4.8,0.333,3.2,6.4,0.5,0.5,2.8,3.8,0.737,1,4,5,2.6,0.2,0,0.8,2.2,14,2021
35,Jimmy Butler,SF,31,MIA,4,4,38.5,4.8,16,0.297,1,3.8,0.267,3.8,12.3,0.306,0.328,4,5.5,0.727,1.5,6,7.5,7,1.3,0.3,2.3,1.5,14.5,2021
36,Kentavious Caldwell-Pope,SG,27,LAL,5,5,29.2,2.2,5.8,0.379,0.8,3.8,0.211,1.4,2,0.7,0.448,1,1,1,0.4,2.4,2.8,1,1,0,0.4,3,6.2,2021
37,Facundo Campazzo,PG,29,DEN,10,9,27,2.9,7.4,0.392,1.9,4.8,0.396,1,2.6,0.385,0.52,1.6,1.9,0.842,0.7,2.3,3,4.1,1.4,0.4,1.5,3.5,9.3,2021
38,Vlatko Čančar,PF,23,DEN,5,0,4.2,0.6,0.6,1,0.2,0.2,1,0.4,0.4,1,1.167,0.8,1,0.8,0,0.6,0.6,0.2,0.2,0.2,0.2,0,2.2,2021
39,Clint Capela,C,26,ATL,18,18,31.6,4.6,7.6,0.603,0,0,,4.6,7.6,0.603,0.603,0.9,2.2,0.436,3.4,7.8,11.2,0.9,0.7,1.1,1,2.6,10.1,2021
40,Jevon Carter,PG,25,PHO,7,0,3.1,0.4,1.1,0.375,0,0.3,0,0.4,0.9,0.5,0.375,0,0.3,0,0,0.3,0.3,0.6,0,0,0,0,0.9,2021
41,Alex Caruso,PG,26,LAL,6,0,20.2,2.3,6.3,0.368,0.8,2.8,0.294,1.5,3.5,0.429,0.434,0.3,0.3,1,0.3,1,1.3,0.5,0.2,0.7,1.2,2,5.8,2021
42,Willie Cauley-Stein,C,27,DAL,6,0,10.5,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0.5,0.5,1,0.5,2.2,2.7,0.5,0.3,0.7,0.5,1.3,2.5,2021
43,Chris Chiozza,PG,25,BRK,6,0,3.2,0.3,1.2,0.286,0.2,0.5,0.333,0.2,0.7,0.25,0.357,0,0,,0,0.2,0.2,0.2,0.2,0,0.2,0.3,0.8,2021
44,Brandon Clarke,PF,24,MEM,2,0,4.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0.5,0.5,0,0,0.5,0,0,1,2021
45,Jordan Clarkson,SG,28,UTA,11,0,27.1,6.1,15,0.406,3.1,8.8,0.351,3,6.2,0.485,0.509,2.3,2.4,0.962,0.5,2.5,3.1,1.5,0.6,0.3,2.1,1.4,17.5,2021
46,Nic Claxton,C,21,BRK,12,0,10.8,1.2,2.4,0.483,0,0,,1.2,2.4,0.483,0.483,0.2,0.3,0.667,1.2,1.6,2.8,0.6,0.3,1,0.3,1.7,2.5,2021
47,Amir Coffey,SG,23,LAC,10,0,1.6,0.3,0.4,0.75,0.1,0.1,1,0.2,0.3,0.667,0.875,0,0.1,0,0,0.2,0.2,0.1,0.1,0,0.1,0,0.7,2021
48,John Collins,PF,23,ATL,18,18,32,5.6,10.1,0.549,1.1,3.1,0.357,4.4,7,0.635,0.604,1.7,2,0.833,2,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9,2021
49,Mike Conley,PG,33,UTA,6,6,29.3,4.8,11.3,0.426,3,6.2,0.486,1.8,5.2,0.355,0.559,2.7,2.7,1,0.5,3,3.5,7.7,0.2,0.5,2.3,2.5,15.3,2021
50,Pat Connaughton,SG,28,MIL,23,1,23.7,2.4,5.2,0.462,1.6,4.1,0.389,0.8,1,0.75,0.618,0.5,0.6,0.846,1.3,3.1,4.4,0.9,0.4,0.3,0.5,1.7,6.9,2021
51,DeMarcus Cousins,C,30,LAC,7,0,8.3,2.7,6,0.452,0.6,1.4,0.4,2.1,4.6,0.469,0.5,1.6,2,0.786,0.9,1.1,2,0.7,0.3,0.4,0.7,1.9,7.6,2021
52,Robert Covington,PF,30,POR,6,6,38,3,6,0.5,1.8,3.7,0.5,1.2,2.3,0.5,0.653,1.5,1.7,0.9,1.5,6.3,7.8,1.2,1.5,1,1.3,3.3,9.3,2021
53,Torrey Craig,SF,30,PHO,22,0,12.1,1.5,3.4,0.427,0.7,1.7,0.405,0.8,1.7,0.447,0.527,0.4,0.6,0.615,0.9,2,2.9,0.4,0,0.4,0.5,1.5,4,2021
54,Jae Crowder,PF,30,PHO,22,22,33.1,3.5,8.4,0.413,2.5,6.5,0.38,1,1.9,0.524,0.56,1.4,1.6,0.886,0.5,5.6,6.1,1.9,0.9,0.8,0.9,3,10.8,2021
55,Seth Curry,SG,30,PHI,12,12,31.8,7.1,12.3,0.578,3.4,6.8,0.506,3.7,5.5,0.667,0.718,1.3,1.6,0.789,0.3,2,2.3,2.3,0.8,0.3,0.8,2.8,18.8,2021
56,Anthony Davis,PF,27,LAL,5,5,28.8,5,12.4,0.403,0.4,2.2,0.182,4.6,10.2,0.451,0.419,7,8.4,0.833,1.4,5.2,6.6,2.6,0.6,1.6,1.2,1.8,17.4,2021
57,Dewayne Dedmon,C,31,MIA,4,0,14.3,2.5,4.5,0.556,0.3,0.8,0.333,2.3,3.8,0.6,0.583,1,1.3,0.8,2,2.5,4.5,0.8,0,0.5,1.5,2.5,6.3,2021
58,Mamadi Diakite,PF,24,MIL,7,0,5,0.3,1.4,0.2,0.1,0.3,0.5,0.1,1.1,0.125,0.25,0.3,0.3,1,0.1,0.9,1,0,0.4,0.1,0.1,1,1,2021
59,Donte DiVincenzo,SG,24,MIL,3,3,23.3,1,5.3,0.188,0.7,4,0.167,0.3,1.3,0.25,0.25,0,0,,0.7,5.7,6.3,2.7,1,0.3,2,1.3,2.7,2021
60,Luka Dončić,PG,21,DAL,7,7,40.1,13.7,28,0.49,4.4,10.9,0.408,9.3,17.1,0.542,0.569,3.9,7.3,0.529,0.6,7.3,7.9,10.3,1.3,0.4,4.6,2.4,35.7,2021
61,Goran Dragić,PG,34,MIA,4,2,29.3,5.8,13.5,0.426,2.3,6.5,0.346,3.5,7,0.5,0.509,2.3,3,0.75,0.3,1.5,1.8,2.8,1,0.5,1.5,2.8,16,2021
62,Andre Drummond,C,27,LAL,5,5,21,3.8,6.4,0.594,0,0,,3.8,6.4,0.594,0.594,1.4,2,0.7,3.8,7.2,11,0,0.8,0.6,2.2,2.4,9,2021
63,Jared Dudley,PF,35,LAL,2,0,2.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2021
64,Kris Dunn,PG,26,ATL,5,0,6.6,0.2,1,0.2,0,0.2,0,0.2,0.8,0.25,0.2,0.8,0.8,1,0,1,1,1,0.4,0.4,0.8,1,1.2,2021
65,Kevin Durant,PF,32,BRK,12,12,40.4,12.1,23.5,0.514,2.8,6.8,0.402,9.3,16.7,0.56,0.573,7.3,8.4,0.871,0.4,8.8,9.3,4.4,1.5,1.6,3.5,2.6,34.3,2021
66,Carsen Edwards,SG,22,BOS,2,0,2.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,,0,0.5,0.5,0,0,0,0,0,2.5,2021
67,CJ Elleby,SF,20,POR,2,0,4,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0.5,1,1.5,0.5,0,0,0.5,0,0,2021
68,Joel Embiid,C,26,PHI,11,11,32.5,9.2,17.9,0.513,1.5,3.7,0.39,7.7,14.2,0.545,0.553,8.3,9.9,0.835,1.5,9.1,10.5,3.4,1,1.5,3.8,3,28.1,2021
69,Tacko Fall,C,25,BOS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,2021
70,Derrick Favors,C,29,UTA,11,0,13.2,1.5,2.1,0.696,0,0,,1.5,2.1,0.696,0.696,0.5,0.8,0.556,1.7,2.5,4.2,0.3,0.2,0.9,0.5,2.3,3.4,2021
71,Bruno Fernando,C,22,ATL,6,0,2,0.3,0.5,0.667,0,0,,0.3,0.5,0.667,0.667,0.3,0.3,1,0.2,0,0.2,0,0,0,0,0,1,2021
72,Yogi Ferrell,PG,27,LAC,9,0,1.7,0.2,0.6,0.4,0,0.1,0,0.2,0.4,0.5,0.4,0,0,,0,0.3,0.3,0.3,0,0,0,0,0.4,2021
73,Dorian Finney-Smith,PF,27,DAL,7,7,38.7,3.7,9.1,0.406,2.3,5.3,0.432,1.4,3.9,0.37,0.531,0.6,0.7,0.8,2.4,4.1,6.6,2.1,1.1,0.3,1.7,3.3,10.3,2021
74,Bryn Forbes,SG,27,MIL,20,0,13.7,2.3,5.6,0.411,1.7,4.5,0.371,0.7,1.2,0.565,0.558,0.3,0.4,0.75,0.1,1.3,1.4,0.3,0.1,0.1,0.4,0.8,6.6,2021
75,Trent Forrest,PG,22,UTA,4,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,1,2021
76,Evan Fournier,SF,28,BOS,5,5,33.4,5.4,12.6,0.429,2.6,6,0.433,2.8,6.6,0.424,0.532,2,2.4,0.833,1,2.6,3.6,1.4,1.2,0,1,4,15.4,2021
77,Enes Freedom,C,28,POR,5,0,11.2,0.8,1.6,0.5,0,0,,0.8,1.6,0.5,0.5,0.4,0.4,1,1.2,1.4,2.6,0,0,0.4,0.6,1.8,2,2021
78,Daniel Gafford,C,22,WAS,5,2,23.4,4.4,5.2,0.846,0,0,,4.4,5.2,0.846,0.846,3,4.8,0.625,2.8,3,5.8,0.6,1,2,0.6,3.4,11.8,2021
79,Danilo Gallinari,PF,32,ATL,18,0,24.6,4.1,9.7,0.425,1.9,4.7,0.405,2.2,5,0.444,0.523,2.7,2.9,0.942,0.4,3.4,3.9,0.8,0.3,0.2,0.8,2.6,12.8,2021
80,Langston Galloway,SG,29,PHO,2,0,7.5,0.5,3.5,0.143,0,1,0,0.5,2.5,0.2,0.143,0,0.5,0,0,1,1,0.5,0,0.5,0,0.5,1,2021
